,Country Name,Country Code,Year,HR Protect Score,ID_col
41,Afghanistan,AFG,1990,-2.09622,AFG90
42,Afghanistan,AFG,1991,-2.05884,AFG91
43,Afghanistan,AFG,1992,-2.06982,AFG92
44,Afghanistan,AFG,1993,-2.07233,AFG93
45,Afghanistan,AFG,1994,-2.0706,AFG94
46,Afghanistan,AFG,1995,-2.0481599999999998,AFG95
47,Afghanistan,AFG,1996,-2.06581,AFG96
48,Afghanistan,AFG,1997,-2.22695,AFG97
49,Afghanistan,AFG,1998,-2.25584,AFG98
50,Afghanistan,AFG,1999,-2.2307200000000003,AFG99
51,Afghanistan,AFG,2000,-2.17674,AFG00
52,Afghanistan,AFG,2001,-1.9796099999999999,AFG01
53,Afghanistan,AFG,2002,-1.55729,AFG02
54,Afghanistan,AFG,2003,-1.4281700000000002,AFG03
55,Afghanistan,AFG,2004,-1.4430399999999999,AFG04
56,Afghanistan,AFG,2005,-1.4052,AFG05
57,Afghanistan,AFG,2006,-1.3966100000000001,AFG06
58,Afghanistan,AFG,2007,-1.40636,AFG07
59,Afghanistan,AFG,2008,-1.44974,AFG08
60,Afghanistan,AFG,2009,-1.39551,AFG09
61,Afghanistan,AFG,2010,-1.3776899999999999,AFG10
62,Afghanistan,AFG,2011,-1.41791,AFG11
63,Afghanistan,AFG,2012,-1.36378,AFG12
64,Afghanistan,AFG,2013,-1.3978,AFG13
65,Afghanistan,AFG,2014,-1.2816,AFG14
107,Albania,ALB,1990,-0.38122399999999995,ALB90
108,Albania,ALB,1991,-0.083837,ALB91
109,Albania,ALB,1992,0.215198,ALB92
110,Albania,ALB,1993,0.269304,ALB93
111,Albania,ALB,1994,0.16902899999999998,ALB94
112,Albania,ALB,1995,-0.041253,ALB95
113,Albania,ALB,1996,-0.202995,ALB96
114,Albania,ALB,1997,-0.41915,ALB97
115,Albania,ALB,1998,-0.276984,ALB98
116,Albania,ALB,1999,-0.29984099999999997,ALB99
117,Albania,ALB,2000,-0.251809,ALB00
118,Albania,ALB,2001,-0.125617,ALB01
119,Albania,ALB,2002,-0.139249,ALB02
120,Albania,ALB,2003,-0.015201,ALB03
121,Albania,ALB,2004,0.039511000000000004,ALB04
122,Albania,ALB,2005,0.097863,ALB05
123,Albania,ALB,2006,0.16243,ALB06
124,Albania,ALB,2007,0.266975,ALB07
125,Albania,ALB,2008,0.427807,ALB08
126,Albania,ALB,2009,0.48830100000000004,ALB09
127,Albania,ALB,2010,0.48256000000000004,ALB10
128,Albania,ALB,2011,0.40723400000000004,ALB11
129,Albania,ALB,2012,0.360908,ALB12
130,Albania,ALB,2013,0.366143,ALB13
131,Albania,ALB,2014,0.365031,ALB14
160,Algeria,DZA,1990,-0.265189,DZA90
161,Algeria,DZA,1991,-0.766625,DZA91
162,Algeria,DZA,1992,-1.28272,DZA92
163,Algeria,DZA,1993,-1.65477,DZA93
164,Algeria,DZA,1994,-1.87732,DZA94
165,Algeria,DZA,1995,-1.99197,DZA95
166,Algeria,DZA,1996,-1.9071799999999999,DZA96
167,Algeria,DZA,1997,-1.9588599999999998,DZA97
168,Algeria,DZA,1998,-1.8204799999999999,DZA98
169,Algeria,DZA,1999,-1.8447,DZA99
170,Algeria,DZA,2000,-1.55358,DZA00
171,Algeria,DZA,2001,-1.46512,DZA01
172,Algeria,DZA,2002,-1.45929,DZA02
173,Algeria,DZA,2003,-1.4929,DZA03
174,Algeria,DZA,2004,-1.26545,DZA04
175,Algeria,DZA,2005,-1.17509,DZA05
176,Algeria,DZA,2006,-1.1233,DZA06
177,Algeria,DZA,2007,-0.7954100000000001,DZA07
178,Algeria,DZA,2008,-0.489939,DZA08
179,Algeria,DZA,2009,-0.25340799999999997,DZA09
180,Algeria,DZA,2010,-0.306423,DZA10
181,Algeria,DZA,2011,-0.28082199999999996,DZA11
182,Algeria,DZA,2012,-0.037473,DZA12
183,Algeria,DZA,2013,0.013769,DZA13
184,Algeria,DZA,2014,0.015590000000000001,DZA14
185,Andorra,AND,1993,1.85044,AND93
186,Andorra,AND,1994,1.9576200000000001,AND94
187,Andorra,AND,1995,2.06665,AND95
188,Andorra,AND,1996,2.17069,AND96
189,Andorra,AND,1997,2.2812099999999997,AND97
190,Andorra,AND,1998,2.38922,AND98
191,Andorra,AND,1999,2.5028,AND99
192,Andorra,AND,2000,2.61972,AND00
193,Andorra,AND,2001,2.73369,AND01
194,Andorra,AND,2002,2.8222,AND02
195,Andorra,AND,2003,2.9142799999999998,AND03
196,Andorra,AND,2004,2.9880299999999997,AND04
197,Andorra,AND,2005,3.0545400000000003,AND05
198,Andorra,AND,2006,3.11384,AND06
199,Andorra,AND,2007,3.16495,AND07
200,Andorra,AND,2008,3.20059,AND08
201,Andorra,AND,2009,3.22632,AND09
202,Andorra,AND,2010,3.2501,AND10
203,Andorra,AND,2011,3.26556,AND11
204,Andorra,AND,2012,3.26369,AND12
205,Andorra,AND,2013,3.26408,AND13
206,Andorra,AND,2014,3.26585,AND14
222,Angola,AGO,1990,-1.58604,AGO90
223,Angola,AGO,1991,-1.61313,AGO91
224,Angola,AGO,1992,-1.86395,AGO92
225,Angola,AGO,1993,-1.9328599999999998,AGO93
226,Angola,AGO,1994,-1.92167,AGO94
227,Angola,AGO,1995,-1.8125200000000001,AGO95
228,Angola,AGO,1996,-1.8545599999999998,AGO96
229,Angola,AGO,1997,-1.93977,AGO97
230,Angola,AGO,1998,-2.16249,AGO98
231,Angola,AGO,1999,-2.1587,AGO99
232,Angola,AGO,2000,-2.0366400000000002,AGO00
233,Angola,AGO,2001,-1.88232,AGO01
234,Angola,AGO,2002,-1.6682400000000002,AGO02
235,Angola,AGO,2003,-1.42337,AGO03
236,Angola,AGO,2004,-1.23285,AGO04
237,Angola,AGO,2005,-1.0237100000000001,AGO05
238,Angola,AGO,2006,-0.850405,AGO06
239,Angola,AGO,2007,-0.937911,AGO07
240,Angola,AGO,2008,-0.8402379999999999,AGO08
241,Angola,AGO,2009,-0.8681469999999999,AGO09
242,Angola,AGO,2010,-0.685063,AGO10
243,Angola,AGO,2011,-0.6247020000000001,AGO11
244,Angola,AGO,2012,-0.615146,AGO12
245,Angola,AGO,2013,-0.629161,AGO13
246,Angola,AGO,2014,-0.6034189999999999,AGO14
256,Antigua and Barbuda,ATG,1990,0.9548139999999999,ATG90
257,Antigua and Barbuda,ATG,1991,0.9698700000000001,ATG91
258,Antigua and Barbuda,ATG,1992,0.980333,ATG92
259,Antigua and Barbuda,ATG,1993,0.9993270000000001,ATG93
260,Antigua and Barbuda,ATG,1994,1.01196,ATG94
261,Antigua and Barbuda,ATG,1995,1.02131,ATG95
262,Antigua and Barbuda,ATG,1996,1.03749,ATG96
263,Antigua and Barbuda,ATG,1997,1.04551,ATG97
264,Antigua and Barbuda,ATG,1998,1.05522,ATG98
265,Antigua and Barbuda,ATG,1999,1.06707,ATG99
266,Antigua and Barbuda,ATG,2000,1.0717,ATG00
267,Antigua and Barbuda,ATG,2001,1.0842,ATG01
268,Antigua and Barbuda,ATG,2002,1.08865,ATG02
269,Antigua and Barbuda,ATG,2003,1.09836,ATG03
270,Antigua and Barbuda,ATG,2004,1.09436,ATG04
271,Antigua and Barbuda,ATG,2005,1.09433,ATG05
272,Antigua and Barbuda,ATG,2006,1.09744,ATG06
273,Antigua and Barbuda,ATG,2007,1.1046799999999999,ATG07
274,Antigua and Barbuda,ATG,2008,1.11087,ATG08
275,Antigua and Barbuda,ATG,2009,1.12249,ATG09
276,Antigua and Barbuda,ATG,2010,1.12621,ATG10
277,Antigua and Barbuda,ATG,2011,1.12311,ATG11
278,Antigua and Barbuda,ATG,2012,1.12792,ATG12
279,Antigua and Barbuda,ATG,2013,1.1240299999999999,ATG13
280,Antigua and Barbuda,ATG,2014,1.12972,ATG14
322,Argentina,ARG,1990,-0.013847,ARG90
323,Argentina,ARG,1991,0.040205,ARG91
324,Argentina,ARG,1992,0.12018399999999999,ARG92
325,Argentina,ARG,1993,0.171862,ARG93
326,Argentina,ARG,1994,0.21547800000000003,ARG94
327,Argentina,ARG,1995,0.23927800000000002,ARG95
328,Argentina,ARG,1996,0.05968300000000001,ARG96
329,Argentina,ARG,1997,-0.018683,ARG97
330,Argentina,ARG,1998,-0.226365,ARG98
331,Argentina,ARG,1999,-0.273487,ARG99
332,Argentina,ARG,2000,-0.294987,ARG00
333,Argentina,ARG,2001,-0.410067,ARG01
334,Argentina,ARG,2002,-0.27038,ARG02
335,Argentina,ARG,2003,-0.125367,ARG03
336,Argentina,ARG,2004,-0.149797,ARG04
